Usuarios;Hora;Tarifa,20%Descuento
Docente;1;1000;800
estudiante;1;1000;800
Funcionario;1;1500;1200
Particular;1;1500;1200
Docente;2;2000;1600
estudiante;2;2000;1600
Funcionario;2;2500;2000
Particular;2;2500;2000
Docente;3;3000;2400
estudiante;3;3000;2400
Funcionario;3;3500;2800
Particular;3;3500;2800
Docente;4;4000;3200
estudiante;4;4000;3200
Funcionario;4;4500;3600
Particular;4;4500;3600
Docente;5;5000;4000
estudiante;5;5500;4400
Funcionario;5;5500;4400
Particular;5;5500;4400
Docente;6;6000;4800
estudiante;6;6500;5200
Funcionario;6;6500;5200
Particular;6;6500;5200
